title| body| state| number| assingnee| labels| milestone
CalculationResult should keep the focus on scroll buttons when their visibility changes|"## Problem StatementThis is hard to test because of #650, but contrary to `OverflowTextBlock`, `CalculationResult` does nothing to keep the focus when the button `ScrollRight` has the focus and becomes collapsed.See code of `OverflowTextBlock` here: https://github.com/microsoft/calculator/blob/796d171960a7351bb2c36cac5cec22d3e74ec0de/src/Calculator/Controls/OverflowTextBlock.cpp#L201## Proposal`CalculationResult` should have the same behavior than `OverflowTextBlock` and give the focus to `ScrollLeft` when `ScrollRight` has it and becomes collapsed.## GoalsGet consistent behavior between controls and improve UX.## Requested AssignmentIf possible, I would like to implement this because already done 😉"|open|651|undefined|[{"id":1243464566,"node_id":"MDU6TGFiZWwxMjQzNDY0NTY2","url":"https://api.github.com/repos/microsoft/calculator/labels/Area:%20User%20Experience","name":"Area: User Experience","color":"ffe1c1","default":false,"description":"Issue primarily affects end user expereince and are not covered by other areas"},{"id":1243354698,"node_id":"MDU6TGFiZWwxMjQzMzU0Njk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Bug","name":"Bug","color":"ee0701","default":false,"description":"Issue is a bug"},{"id":1243354701,"node_id":"MDU6TGFiZWwxMjQzMzU0NzAx","url":"https://api.github.com/repos/microsoft/calculator/labels/triage%20approved","name":"triage approved","color":"bfe5bf","default":false,"description":"Issue has been approved by Calculator team member"}]|null
Code cleaning: Remove all properties/functions not used in CalculationResult|"### Description of the changes:- Remove all obsolete properties: `AccentColor`, `MaxExpressionHistoryCharacters`, `ExpressionVisibility`, `DisplayStringExpression` (I suppose this control displayed the expression too in the past?)- Separate ScrollLeft and ScrollRight click event handlers### How changes were validated:- manually"|open|649|EriWong|[{"id":1273734578,"node_id":"MDU6TGFiZWwxMjczNzM0NTc4","url":"https://api.github.com/repos/microsoft/calculator/labels/codebase%20quality","name":"codebase quality","color":"E6B33D","default":false,"description":"Issues that are not bugs, but still might be worth improving (eg, code hygiene or maintainability)"}]|null
AlwaysOnTop should use the same control than the normal mode to display calculation results.|"### Describe the issueInstead of using the same control than in Normal mode to display the current value, AOT use a different control based on `OverflowText`. This control wasn't made for this purpose, we should use the same control in both modes (cleaner, providing more features and easier to support). Originally, the Calculator had 2 similar controls:- **CalculationResult**    - Purpose: Display a numeric value or an error message    - Usage: Display the result of a calculation or the current value entered    - Unique features: Support auto font resizing, made to host a textblock, support left/right keys to scroll, support error messages, including change the font to correctly display the message, support LtR for error messages, support context menu (copy/paste the value)    - The control scrolls automatically to the end when the value changed (to replicate this behavior, `OverflowText` modified the VM and misuse `TokenUpdated` )- **OverflowText**    - Purpose: Display a ItemsControl    - Usage: Display the current operation (e.g.: `123 + 243 x 343`)    - Unique features: improve the accessibility of the containing ItemsControl.It is very clear when we compare the 2 controls that the first one corresponds exactly to our needs unlike the second. The current implementation tries to adjust/tweak the style of OverflowText to look like CalculationResult, instead we should use it directly.### How will we improve the code quality and the UX?Using the CalculationResult will effortlessly add the following features to AOT: - better sizing of the text, the current implementation (via visual states in Calculator.xaml) only uses 2 font sizes, a large and a very small one (see screenshots)- support of Left/Right keys- better display of error messages (a comment from this repository mentions that we should improve this point in AOT mode, switching to CalculationResult will solve the problem)- Support copy/paste via context menu.- All future enhancements to the normal view will be added automatically in AOT mode.- We will be able to improve the display of the operation without impacting AOT mode.- slightly better performance, only 1 control instead of 2 will be used to display results- remove huge template from Calculator.xaml, making the code easier to read.- improve transition between the 2 mode, a text selected in one mode will still be selected in the other.### Screenshots<img src='https://user-images.githubusercontent.com/1226538/63923094-cbd12880-c9fa-11e9-9112-3215d7eec9e1.png' height='240' />The current implementation supports only 2 font sizes, not adapted to all the sizes supported by AOT<img src='https://user-images.githubusercontent.com/1226538/63923440-6c274d00-c9fb-11e9-9bf0-9493541b8628.png' height='240' />The display of error messages can be improved### What do we need to do?-  Add the `ScrollButtonsPlacement='Above'` mode added by #647 in OverflowTextBlock to CalculationResult. (will it be necessary if the control auto-resizes the font?)- Remove `AlwaysOnTopStyleS`, `AlwaysOnTopStyleM` and `AlwaysOnTopResults` from `Calculator.xaml`- in visual states associated to AOT, set the correct values for `Result.MinFontSize`, `Result.MaxFontSize` to perfectly fit the AOT UI.### Device and Application Information - OS Build: 10.0.18875.0 - Architecture: X64 - Application Version: 10.1905.30.0 - Region: en-US - Dev Version Installed: True### Requested AssignmentIf possible, I would like to fix this."|open|648|undefined|[{"id":1355573903,"node_id":"MDU6TGFiZWwxMzU1NTczOTAz","url":"https://api.github.com/repos/microsoft/calculator/labels/approved","name":"approved","color":"bfe5bf","default":false,"description":""},{"id":1273734578,"node_id":"MDU6TGFiZWwxMjczNzM0NTc4","url":"https://api.github.com/repos/microsoft/calculator/labels/codebase%20quality","name":"codebase quality","color":"E6B33D","default":false,"description":"Issues that are not bugs, but still might be worth improving (eg, code hygiene or maintainability)"}]|null
Prevent the user interface from shifting at launch|"## Fixes #605 ### Cause of the glitchAt launch, properties of CoreApplicationViewTitleBar aren't initialized correctly during the first seconds, creating 2 issues:- Because `IsVisible == False`, we reduce our custom title bar- Because `Height == 0`, we change the size of our custom title bar to 0Then ~ 1 second later, the application receives `TitleBar::LayoutMetricsChanged` and we 'fix' IsVisible and Height, causing this visual glitch.### Description of the changes:- At launch, if the current device is a PC and not in Tablet Mode, we don't modify the visibility of the title bar. - We don't resize the title bar if the height is 0, we will only rely on `IsVisible` to hide the title bar.### Other improvements- Fixed the Visual Studio warnings concerning ` this` and lamba expressions.- Fixed bugs when the height of the title bar is higher than 32### How changes were validated:- Manually in English and Arabic (RtL)"|open|633|joseartrivera|[{"id":1265286666,"node_id":"MDU6TGFiZWwxMjY1Mjg2NjY2","url":"https://api.github.com/repos/microsoft/calculator/labels/fixing%20approved%20issue","name":"fixing approved issue","color":"bfe5bf","default":false,"description":""}]|null
When in high contrast mode the About menu item once selected can never be unselected|"**Describe the bug**When in high contrast mode the About menu item once selected can never be unselected.**Steps To Reproduce**When in high contrast mode the About menu item once selected can never be unselected- In high contrast mode open the calculator- Click on the About in the drop down menu- Try unselect in or get rid of the highlighting**Expected behavior**High contrast color is applied appropriately**Screenshots**![image](https://user-images.githubusercontent.com/1414423/62645939-154dbc80-b902-11e9-82a5-2eda0f5d2ad3.png)**Device and Application Information** - OS Build: 10.0.18942.0 - Architecture: X64 - Application Version: 10.1906.53.0 - Region: en-US - Dev Version Installed: True**Requested Assignment**I'm just reporting this problem.  I don't want to fix it."|open|630|undefined|[{"id":1243354699,"node_id":"MDU6TGFiZWwxMjQzMzU0Njk5","url":"https://api.github.com/repos/microsoft/calculator/labels/Area:%20Accessibility","name":"Area: Accessibility","color":"ffe1c1","default":false,"description":"Issues with keyboard interactions, screen readers, contrast, font size, and other accessibilty areas"},{"id":1243354698,"node_id":"MDU6TGFiZWwxMjQzMzU0Njk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Bug","name":"Bug","color":"ee0701","default":false,"description":"Issue is a bug"},{"id":1243354700,"node_id":"MDU6TGFiZWwxMjQzMzU0NzAw","url":"https://api.github.com/repos/microsoft/calculator/labels/Pri:%203","name":"Pri: 3","color":"EEEEEE","default":false,"description":""},{"id":1243354701,"node_id":"MDU6TGFiZWwxMjQzMzU0NzAx","url":"https://api.github.com/repos/microsoft/calculator/labels/triage%20approved","name":"triage approved","color":"bfe5bf","default":false,"description":"Issue has been approved by Calculator team member"}]|null
Enable free-form input of math expressions|"**Problem Statement**Today, when you input an expression, you are committing previous input with each operator, which means that you cannot easily edit or undo what you have already committed. We also have a key mapping such that keyboard keys are mapped to specific button inputs. This means that to enter 'cos()', you actually press o. This is unintuitive and makes entering equations difficult.We also currently only support linear input, which means we display this:x ^ 2 + √(2x)instead of this:![image](https://user-images.githubusercontent.com/1414423/62503564-92b1e980-b7a9-11e9-8f73-7933cf7ead89.png)**Evidence or User Insights**Our current keyboard mapping is unintuitive and requires extensive documentation to educate users (#157). Not only is free-form input more intuitive, there have been several issues opened that would require support for it as a pre-requisite (e.g., #163, #519, #150).**Proposal**Enable free-form input across calculator modes, which means that users can place the cursor anywhere inside of an equation input box to edit the expression. This also means that users can type or paste in 'cos(x)', which feels natural, as this is how you would write this expression up on a whiteboard.> Note: This is the same input behavior that we are going to have in graphing mode.**Goals*** Users can input their equations with free-form input* Expressions are displayed in rich [MathML](https://www.w3.org/Math/) styling format**Non-Goals*** Build a parser (this is covered by #526, which is a prerequisite for this work)* Introduce new input methods other than keyboard (e.g., inking input is covered by #24)**Low-Fidelity Concept**![image](https://user-images.githubusercontent.com/1414423/62503564-92b1e980-b7a9-11e9-8f73-7933cf7ead89.png)<sub>Just an example of rendering as MathML</sub>**Requested Assignment**I'm just suggesting this idea.  I don't want to implement it."|open|620|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1376241572,"node_id":"MDU6TGFiZWwxMzc2MjQxNTcy","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20spec","name":"needs spec","color":"fef2c0","default":false,"description":""}]|null
Add support for imaginary numbers|"**Problem Statement**Windows Calculator currently does not support [imaginary numbers](https://en.wikipedia.org/wiki/Imaginary_number). Instead, we show 'Invalid input':![image](https://user-images.githubusercontent.com/1414423/62392301-f8894180-b51b-11e9-8d92-fce63781e427.png)**Evidence or User Insights**The complex number system is part of US high school [common core curriculum](http://www.corestandards.org/Math/Content/HSN/). According to [some reports](https://matheducators.stackexchange.com/questions/11847/complex-numbers-in-high-school) in the Math Educators Stack Exchange, complex numbers are taught in at least some high school level math and science courses in China, Norway, Italy, India, Israel, and the UK.**Proposal**Add support for imaginary numbers in Scientific mode of Windows Calculator.**Goals*** Add support for output that includes imaginary numbers (e.g., √(-16) = 4 _i_)* Add support for inputting expressions with imaginary numbers (e.g., _i_<sup>2</sup> = -1)* Add <kbd>_i_</kbd> to the keyboard**Non-Goals*** Support for imaginary numbers outside of Scientific mode**Low-Fidelity Concept**![image](https://user-images.githubusercontent.com/1414423/62392788-2b800500-b51d-11e9-9b1b-079d27b75570.png)**Requested Assignment**I'm just suggesting this idea.  I don't want to implement it."|open|613|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"},{"id":1376241572,"node_id":"MDU6TGFiZWwxMzc2MjQxNTcy","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20spec","name":"needs spec","color":"fef2c0","default":false,"description":""}]|null
Make Automated UI Tests for the Standard Calculator, faster, reliable, and AoT tests and Error Tests|"**Problem Statement**Currently, the automated UI tests for Standard calculator mode are slow, keyboard test are flakey, and they do not include AoT tests.  **Evidence or User Insights**It would be helpful to developers and testers to have some streamlined, reliable UI tests for the Standard calculator mode that also include tests for the new AoT feature.  Making these test reliable, and fast will encourage the use of these tests.**Proposal**- These tests would allow developers to know that their feature/code change, when introduced to the application, does not break other aspects of the application.  - These tests allow testers to focus on more creative, testing scenarios during manual testing rather than spending a lot of extra time executing tests that an automaton could complete.**Goals**- Make Standard calculator mode automated UI test, streamlined, faster, and more reliable- Include a couple of basic error tests- Include AoT tests- Use these tests as a gate when checking in new features**Non-Goals**- The UI automated tests are not a replacement for Unit tests- The UI automated tests will not cover end-to-end testing (It will cover smoke/BVT type tests)**Low-Fidelity Concept**In a forked repo, I made small changes to the UI test framework, and to the UI tests that impact the Standard Mode Functional:https://github.com/v-credwa/calculator/tree/autocal/src- Has error tests- Has an AoT tests- Resize app window before tests so that all required buttons and the history panel is visible- Does not have changes to make keyboard tests more reliable- May need more/fewer tests to streamline**Requested Assignment**If possible, I would like to implement this"|open|610|undefined|[{"id":1355573903,"node_id":"MDU6TGFiZWwxMzU1NTczOTAz","url":"https://api.github.com/repos/microsoft/calculator/labels/approved","name":"approved","color":"bfe5bf","default":false,"description":""},{"id":1273734578,"node_id":"MDU6TGFiZWwxMjczNzM0NTc4","url":"https://api.github.com/repos/microsoft/calculator/labels/codebase%20quality","name":"codebase quality","color":"E6B33D","default":false,"description":"Issues that are not bugs, but still might be worth improving (eg, code hygiene or maintainability)"}]|null
Automated UI Tests for the Programmer Calculator Mode|"**Problem Statement**Currently, the basic smoke tests for Programmer calculator mode are all manual.  There aren't any automated UI tests for calculator modes other than the standard calculator mode.  Automation testing is faster than manual testing. Repeated test that can be automated, should be automated.**Evidence or User Insights**It would be helpful to developers and testers to have some streamlined, reliable UI tests for the Programmer calculator mode.  **Proposal**- These tests would allow developers to know that their feature/code change, when introduced to the application, does not break other aspects of the application.  - These tests allow testers to focus on more creative, testing scenarios during manual testing rather than spending a lot of extra time executing tests that an automaton could complete.**Goals**- Replace basic, repeatable manual tests, with streamlined, reliable automated UI tests for the Programmer calculator mode- Use these tests as a gate when checking in new features**Non-Goals**- The UI automated tests are not a replacement for Unit tests- The UI automated tests will not cover end-to-end testing (It will cover smoke/BVT type tests)**Low-Fidelity Concept**Read through 'ManualTests.md' (https://github.com/microsoft/calculator/blob/master/docs/ManualTests.md).  Would you prefer to execute these tests manually, or if possible, execute most of these through automation?   **Requested Assignment**If possible, I would like to implement this."|open|609|undefined|[{"id":1355573903,"node_id":"MDU6TGFiZWwxMzU1NTczOTAz","url":"https://api.github.com/repos/microsoft/calculator/labels/approved","name":"approved","color":"bfe5bf","default":false,"description":""},{"id":1273734578,"node_id":"MDU6TGFiZWwxMjczNzM0NTc4","url":"https://api.github.com/repos/microsoft/calculator/labels/codebase%20quality","name":"codebase quality","color":"E6B33D","default":false,"description":"Issues that are not bugs, but still might be worth improving (eg, code hygiene or maintainability)"}]|null
Automated UI Tests for the Scientific Calculator Mode|"**Problem Statement**Currently, the basic smoke tests for Scientific calculator mode are all manual.  There aren't any automated UI tests for calculator modes other than the standard calculator mode.  Automation testing is faster than manual testing. Repeated test that can be automated, should be automated.**Evidence or User Insights**It would be helpful to developers and testers to have some streamlined, reliable UI tests for the Scientific calculator mode.  **Proposal**- These tests would allow developers to know that their feature/code change, when introduced to the application, does not break other aspects of the application.  - These tests allow testers to focus on more creative, testing scenarios during manual testing rather than spending a lot of extra time executing tests that an automaton could complete.**Goals**- Replace basic, repeatable manual tests, with streamlined, reliable automated UI tests for the Scientific calculator mode- Use these tests as a gate when checking in new features**Non-Goals**- The UI automated tests are not a replacement for Unit tests- The UI automated tests will not cover end-to-end testing (It will cover smoke/BVT type tests)**Low-Fidelity Concept**Read through 'ManualTests.md' (https://github.com/microsoft/calculator/blob/master/docs/ManualTests.md).  Would you prefer to execute these tests manually, or if possible, execute most of these through automation?   **Requested Assignment**If possible, I would like to implement this."|open|608|undefined|[{"id":1355573903,"node_id":"MDU6TGFiZWwxMzU1NTczOTAz","url":"https://api.github.com/repos/microsoft/calculator/labels/approved","name":"approved","color":"bfe5bf","default":false,"description":""},{"id":1273734578,"node_id":"MDU6TGFiZWwxMjczNzM0NTc4","url":"https://api.github.com/repos/microsoft/calculator/labels/codebase%20quality","name":"codebase quality","color":"E6B33D","default":false,"description":"Issues that are not bugs, but still might be worth improving (eg, code hygiene or maintainability)"}]|null
Upon launch, sometimes, the calculator type title shifts down |"**Describe the bug**Upon launch, sometimes, the calculator type title shifts down.  In most calculator types this can cause readability issues when performing some actions.**Steps To Reproduce**1) Launch Date Calculation calculator2) Observe UI3) If issue did not occur, repeat steps 1 through 2 multiple times**Observed behavior**Upon launch, sometimes, the calculator type title shifts down**Expected behavior**Upon launch, the calculator UI does not shift down**Screenshots**![image](https://user-images.githubusercontent.com/1414423/62101103-19664400-b249-11e9-9659-72137552bdd5.png)**Device and Application Information**- OS Build: 10.0.18362.0- Architecture: X64- Application Version: 10.1906.53.0- Region: en-US- Dev Version Installed: True**Additional context**I can repro quickly by pinning the Calculator app to the taskbar and using middle click to rapidly open several Calculator windows."|open|605|undefined|[{"id":1243464566,"node_id":"MDU6TGFiZWwxMjQzNDY0NTY2","url":"https://api.github.com/repos/microsoft/calculator/labels/Area:%20User%20Experience","name":"Area: User Experience","color":"ffe1c1","default":false,"description":"Issue primarily affects end user expereince and are not covered by other areas"},{"id":1243354698,"node_id":"MDU6TGFiZWwxMjQzMzU0Njk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Bug","name":"Bug","color":"ee0701","default":false,"description":"Issue is a bug"},{"id":1243354700,"node_id":"MDU6TGFiZWwxMjQzMzU0NzAw","url":"https://api.github.com/repos/microsoft/calculator/labels/Pri:%203","name":"Pri: 3","color":"EEEEEE","default":false,"description":""},{"id":1243354701,"node_id":"MDU6TGFiZWwxMjQzMzU0NzAx","url":"https://api.github.com/repos/microsoft/calculator/labels/triage%20approved","name":"triage approved","color":"bfe5bf","default":false,"description":"Issue has been approved by Calculator team member"}]|null
Add support for custom color and photo themes|"**Problem Statement**Calculator is great example of Fluent design, but it doesn't feel like _my_ Calculator.![image](https://user-images.githubusercontent.com/1414423/61583756-6e8bb280-aaf1-11e9-9635-7a5ec02f27c0.png)**Evidence or User Insights*** Adding more color options is a top requested feature on Feedback Hub* Other products, like [SwiftKey](https://www.microsoft.com/swiftkey) and the new [Windows Terminal](https://github.com/microsoft/terminal), support themes, which are quite popular with users.**Proposal**Add support for custom color and photo themes in Calculator.**Goals*** Users can select a custom color theme.* Users can select an image as their theme.**Non-Goals*** Fine-grained personalization of individual UI elements**Low-Fidelity Concept**![image](https://user-images.githubusercontent.com/1414423/61583833-992a3b00-aaf2-11e9-90ff-ae777fb5b953.png)**Requested Assignment**I'm just suggesting this idea.  I don't want to implement it."|open|598|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1376241572,"node_id":"MDU6TGFiZWwxMzc2MjQxNTcy","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20spec","name":"needs spec","color":"fef2c0","default":false,"description":""}]|null
Replace current about dialog with settings page|"**Problem Statement**Calculator currently does not have a settings page, which will block future work. The current about dialog is also inconsistent with many other Microsoft apps.**Evidence or User Insights**Many suggested features have suggested adding options in settings (#538, #486, #485, #393, #382, #215), and while we have not accepted all of these pitches, it is inevitable that there will be functionality requiring settings UX.**Proposal**Replace current about dialog with settings page. **Goals*** Replace current about dialog with settings page* Be consistent with settings UX patterns established in other Microsoft apps* Add basic theme selection option common across many other apps**Non-Goals*** Add any additional options at this time**Low-Fidelity Concept**![image](https://user-images.githubusercontent.com/1414423/61502861-69602380-a98a-11e9-976e-c11b66a7220a.png)**Requested Assignment**I'm just suggesting this idea.  I don't want to implement it."|open|596|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1376241572,"node_id":"MDU6TGFiZWwxMzc2MjQxNTcy","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20spec","name":"needs spec","color":"fef2c0","default":false,"description":""}]|null
Users are unable to edit numerical values inserted from memory|"**Describe the bug**Users are unable to edit numerical values inserted from memory.**Steps To Reproduce**1. Perform a calculation in Standard or Scientific mode so that a result is generated2. Press 'MS' button to store memory entry3. Press <kbd>ESC</kbd> to clear input4. Press 'MR' button to recall stored memory entry5. Press <kbd>Backspace</kbd> and notice that you cannot edit the numerical valueNote: This is only kind of related to #519, but in this case, we are only ever restoring numerical values, and not operators.**Expected behavior**Numerical values are editable as if you typed them in manually.**Screenshots**N/A**Device and Application Information** - OS Build: 10.0.18942.0 - Architecture: X64 - Application Version: 10.1906.25.0 - Region: en-US - Dev Version Installed: True**Requested Assignment**I'm just reporting this problem.  I don't want to fix it."|open|595|undefined|[{"id":1243464566,"node_id":"MDU6TGFiZWwxMjQzNDY0NTY2","url":"https://api.github.com/repos/microsoft/calculator/labels/Area:%20User%20Experience","name":"Area: User Experience","color":"ffe1c1","default":false,"description":"Issue primarily affects end user expereince and are not covered by other areas"},{"id":1243354698,"node_id":"MDU6TGFiZWwxMjQzMzU0Njk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Bug","name":"Bug","color":"ee0701","default":false,"description":"Issue is a bug"},{"id":1243354700,"node_id":"MDU6TGFiZWwxMjQzMzU0NzAw","url":"https://api.github.com/repos/microsoft/calculator/labels/Pri:%203","name":"Pri: 3","color":"EEEEEE","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"},{"id":1243354701,"node_id":"MDU6TGFiZWwxMjQzMzU0NzAx","url":"https://api.github.com/repos/microsoft/calculator/labels/triage%20approved","name":"triage approved","color":"bfe5bf","default":false,"description":"Issue has been approved by Calculator team member"}]|null
Collapse unit converters into single page and refresh layout|"**Problem Statement**Today, we treat each converter type as a high-level navigation item. This means that if you want to switch between volume and weight converters, you need to navigate to an entirely different page. While we do offer shortcuts to switch between modes, they are not very discoverable (#157), and parsing a mixed list of calculators and converters is unnecessarily more complex than it needs to be. Furthermore, the converter page interface is laid out differently than other calculator modes and feedback suggests that the interface could be made more intuitive.![image](https://user-images.githubusercontent.com/1414423/61490296-787eab80-a961-11e9-9d8a-f8cdb3101958.png)**Evidence or User Insights**We currently have a flat navigation structure. According to [app navigation guidance](https://docs.microsoft.com/en-us/windows/uwp/design/basics/navigation-basics), this structure is appropriate when there are less than 8 pages in the group. We already have 13 converters, and #515 is looking at evaluating which converters and units we include, and suggests we may actually be _missing_ some converter types (increase to 17). In this case, hierarchical or an alternative navigation would be preferred.Some other UX issues have been identified as well. It is unclear how to quickly switch units (#172 and #266). There is some additional conversation in #382 and #379 as well.**Proposal**Collapse converters into a single 'Converter' page where you can select the type of conversion in addition to the units. There may be an opportunity to streamline input even further with #589 to allow users to input any unit they like without having to explicitly select a converter type first.**Goals*** Collapse top-level converter navigation into a single Converter (open question: does currency converter feel different enough to remain separate?)* Redesign page layout for greater consistency with other calculator modes* Redesign value input to align with other converter patterns (e.g., found in translation apps)**Non-Goals*** Determining which converters/units to include is out-of-scope (covered by #515)**Low-Fidelity Concept**![image](https://user-images.githubusercontent.com/1414423/61490046-e1195880-a960-11e9-9a7a-3952a74712b6.png)Bing Translator/Converter UX (for inspiration)![bing](https://user-images.githubusercontent.com/1414423/54236480-d93c3a00-44d0-11e9-9bdd-11c0d0dc0616.jpg)![image](https://user-images.githubusercontent.com/1414423/61490237-538a3880-a961-11e9-86af-7571233bf54f.png)**Requested Assignment**I'm just suggesting this idea.  I don't want to implement it."|open|594|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"},{"id":1376241572,"node_id":"MDU6TGFiZWwxMzc2MjQxNTcy","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20spec","name":"needs spec","color":"fef2c0","default":false,"description":""}]|null
Update unit selection UX to highlight common and recently-used units and make it easier to find and select units|"**Problem Statement**Unit converters in Calculator support a large set of units, which can make it difficult to quickly access common or frequently-used units.**Evidence or User Insights**There is some discussion in #382 regarding having a smaller set of units by default with an option to turn on more in settings. Numerous issues (#108, #167, #271, #325, #275, #515) discuss expanding the set of units or converters further, which improves converters overall, but makes this particular UX problem worse.Anecdotally, it is clear to see some scenarios where we show common units mixed in with uncommon units:![image](https://user-images.githubusercontent.com/1414423/61423332-3bb0a700-a8c4-11e9-81ee-ac30b959e6c5.png)**Proposal**Update the unit selection UX to highlight common and recently-used units and make it easier to find and select units.**Goals*** Users can quickly select commonly-used units* Users can quickly select recently-used units* Users can easily find less commonly-used units**Non-Goals*** Determining which converters/units to include is out-of-scope (covered by #515)* Redesign any other parts of converter navigation or UX**Low-Fidelity Concept**One approach might be an AutoSuggestBox/ComboBox hybrid experience. This would allow us to highlight the most common units as well as recently used units, while also allowing users to search-to-filter/select any unit.![image](https://user-images.githubusercontent.com/1414423/61423904-7287bc80-a8c6-11e9-8a10-aae2dd300309.png) ![image](https://user-images.githubusercontent.com/1414423/61423762-dc539680-a8c5-11e9-81d3-14f82583499b.png)<sub>Instead of People/Places/Things, we could highlight common/recently used units</sub>![image](https://user-images.githubusercontent.com/1414423/62404396-c9d59000-b548-11e9-9d05-e3b15c2b43c9.png)**Requested Assignment**I'm just suggesting this idea.  I don't want to implement it."|open|589|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"},{"id":1376241572,"node_id":"MDU6TGFiZWwxMzc2MjQxNTcy","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20spec","name":"needs spec","color":"fef2c0","default":false,"description":""}]|null
Add link to GitHub repo on about flyout|"**Problem Statement**There is no way to navigate to the project from within the Calculator app.**Evidence or User Insights****Proposal**By adding a link to the GitHub repo on the about flyout, people will know that it's open source and that they can create issues, PRs and more.**Goals**Improve discoverability of the GitHub project from within Calculator.**Non-Goals****Low-Fidelity Concept**Add this string to the about dialog after the 'Send feedback' button:> Windows Calculator is made available under the MIT license. To learn more and contribute, check out the project on [GitHub](https://go.microsoft.com/fwlink/?linkid=2099939).![image](https://user-images.githubusercontent.com/1414423/62022535-a776f780-b181-11e9-9c2b-49e0a40f4409.png)**Requested Assignment**I'm just suggesting this idea.  I don't want to implement it.> Note: Copied/split from #543 "|open|582|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1355573903,"node_id":"MDU6TGFiZWwxMzU1NTczOTAz","url":"https://api.github.com/repos/microsoft/calculator/labels/approved","name":"approved","color":"bfe5bf","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"}]|null
